"","lo_x","lo_y","lo_z","x","y","z","Moll_x","Moll_y"
"287",314142.240149345,256705.297784001,207832.6954941,0.969244879592597,-0.23027027372864,0.086832968511213,0.209511494349384,0.096522168638894
"289",310238.288606642,255081.792868482,206097.71420339,0.981892290695553,-0.150887724401849,0.114544419757017,0.136719889572526,0.127399386429446
"291",306784.321075434,253369.434866499,204341.341356366,0.988250856248154,-0.0737564402671425,0.133866473188433,0.0666961400061919,0.148964191220567
"294",304370.130206954,250787.26748415,203064.786581015,0.988261435584167,0.0010891535375151,0.152768284279472,-0.000985026730926361,0.170093890315724
"297",301538.295485724,248423.797739279,202289.684089416,0.980266056845953,0.0927200714461148,0.174589364357378,-0.084098165268491,0.194535277901059
"296",297933.430128854,247371.311625803,200872.813726665,0.962876675857249,0.191700687273646,0.190050923672857,-0.174934743415744,0.211888953877282
"253",333904.402919715,271352.428077525,209499.100528356,0.864508441286294,-0.495384925246047,-0.084964291227025,0.467432661263199,-0.0944418429446228
"238",374583.250157371,288142.211773954,216087.579596342,0.311864661048714,-0.854164197641885,-0.416105703704918,1.03628315916592,-0.471037579354872
"235",378536.674234778,288030.471235361,216841.184201952,0.212694874241567,-0.861396825386304,-0.461255243531997,1.11091210759638,-0.524619631943778
"237",381554.921966173,287960.89586241,217239.156054102,0.11510585777836,-0.85847871612262,-0.499764880188241,1.18402457613262,-0.57101827649224
"236",386644.896753782,289267.068841258,218644.232388205,-0.0354774107695308,-0.825718624291897,-0.562965457930224,1.29093541946007,-0.648839530698637
"242",392398.406790376,289669.078677401,220708.750796791,-0.200830098378407,-0.756956169080115,-0.621839713814481,1.41565205768292,-0.723642320215
"252",338278.328988319,273841.864827814,210174.846821429,0.827307351988891,-0.549930065482878,-0.114627520356705,0.526025000803483,-0.127492065086689
"251",343183.778802683,276586.294668776,209576.927011773,0.78728062510485,-0.599591029885543,-0.143804778137971,0.58223424094953,-0.160069385874434
"250",346389.706251272,278656.41409138,209833.27476487,0.73894730855653,-0.650676368814411,-0.174863198654128,0.643795522617109,-0.194842355080495
"249",350352.223915867,281274.579135011,210178.681883216,0.681856735685745,-0.700684252844098,-0.210030878244815,0.709419841625611,-0.23436282594089
"246",354756.569509168,283303.1579233,212428.486407248,0.626607659878637,-0.739925799434403,-0.244688888004293,0.766838965883934,-0.273495484778031
"244",360454.641724907,284715.963778478,213859.321133375,0.551509376298109,-0.784091807112473,-0.284670767509358,0.84011972405497,-0.318913634679022
"241",365575.65684765,285852.552291043,214777.595624885,0.476963210252291,-0.817946499206536,-0.321666940330524,0.907771615592439,-0.361250061931446
"240",370306.649416482,287358.65082755,215695.394900922,0.402374581268553,-0.840179804214099,-0.363582993193734,0.96870922434283,-0.409641648286591
"254",329508.00205063,269214.859415499,208346.84386655,0.896217998687738,-0.440323129613754,-0.0539336662511906,0.410781356278862,-0.0599231771746056
"255",325367.551719477,266220.657400939,207797.651422553,0.926235577953148,-0.376307118484089,-0.0219227441712721,0.347384906116249,-0.0243512498864139
"269",290477.737262876,247591.518976936,198038.785472357,0.912069585967492,0.38609937514725,0.138044713277949,-0.358396847143482,0.153631839994257
"256",321465.080046237,263212.533788935,207663.529643543,0.951319838417403,-0.308086544917003,0.00855838037180603,0.281966351722284,0.00950604211785536
"257",317321.587779786,260138.279765074,206996.775758241,0.97160470570597,-0.233832156623006,0.0361499430020266,0.212546061065599,0.0401578886360779
"262",313044.151820169,258788.995224554,205859.282488376,0.984973622231227,-0.161187031565556,0.0620137433459704,0.145865281219836,0.0689072257516339
"264",309519.227328784,258304.751289599,204434.78797552,0.992827454886816,-0.0876329254206033,0.0813272107304391,0.0790998438840499,0.0903934071458214
"266",306142.35064972,257046.818548577,202155.484978538,0.99506265298377,-0.0162968325703527,0.0979016337201501,0.0147000515185292,0.108848941220668
"268",302317.392704859,255665.865912594,201065.586891701,0.990788248680191,0.0774850122496336,0.111061780797509,-0.0699980846538669,0.123515834319305
"272",298575.185196523,253625.009372071,199452.821161946,0.975372661933943,0.172892506058471,0.136953830544151,-0.157027607930635,0.152413017948191
"271",294043.883687336,251506.208288725,198332.164640607,0.951382965461151,0.270319256600267,0.1476412968699,-0.247551964840006,0.164359000454126
"229",333632.153498054,274588.670223739,207783.65369746,0.893239731967559,-0.433908987541909,-0.117668057538482,0.405374723735128,-0.130883433269578
"212",373994.480361699,290774.988543935,213407.631967483,0.370780158914958,-0.811523700945599,-0.451609739220221,0.958290292756026,-0.513103009818468
