"x","y","z"
278563.107438017,215200.107438017,168420.826446281
256841.925,190487.215,206905
257463.736318408,187295.019900498,211817.711442786
256747.272727273,183420.484848485,217175
257068.49009901,180336.930693069,222774.059405941
255946.424242424,176556.121212121,228528.333333333
261569.63963964,169493.567567568,233126.846846847
263848.401785714,163767.714285714,236695.357142857
273900.241610738,213020.77852349,171270.604026846
268685.647865169,209959.279101124,175423.820224719
266877.180094787,205462.412322275,179014.218009479
265435.61352657,200664.797101449,183525.797101449
261957.86259542,200615.20610687,188586.564885496
260883.958490566,197775.396226415,192838.490566038
258498.433460076,194809.429657795,196690.950570342
255460.688888889,192088.496296296,200956.740740741
295068.054166667,219206.970833333,159978
299931.615079365,222729.130952381,157124.126984127
304444.307692308,227197.076923077,152215.769230769
308185.4898,229481.7614,148782.4
314444.998648649,233671.125135135,145655.135135135
291006.716049383,215803.358024691,162713.086419753
286245.383928571,211994.375,166429.107142857
262098.466960352,186025.585903084,203776.740088106
261749.148698885,183542.029739777,208944.832713755
260986.074074074,179757.866666667,214182.222222222
261798,175359.193430657,219195.328467153
260693.315588235,172071.106176471,227350.588235294
267357.572413793,165858.227586207,229466.482758621
271626.483516484,161254.714285714,233392.087912088
280833.154639175,207496.577319588,168796.494845361
275898.132947977,205557.803468208,171550.057803468
274476.017040816,200369.904897959,176421.224489796
270937.734265734,197163.86013986,181284.755244755
268599.234741784,197528.9342723,186005.821596244
266648.112676056,193065.915492958,189594.225352113
263994.775510204,190852.081632653,193996.12244898
263395.022012579,187559.713836478,198029.182389937
302569.882352941,214400.705882353,157961.323529412
305583.88,216687.5,154501.6
310633.6255,220756.372916667,151244.666666667
315511.621052632,226136.515789474,149883.368421053
297328.96,210840.16,160243.6
292943.789473684,208264.833333333,163990.701754386
267768.30075188,180538.947368421,202314.887218045
265631.135135135,180007.783783784,206351.756756757
266257.24822695,177383.489361702,212197.446808511
265985.063829787,173184.910638298,216236.425531915
266702.693333333,169525.893333333,222602.133333333
272844.402714932,163337.882352941,227086.515837104
277087.092592593,159369.212962963,228942.592592593
288566.185628743,204844.928143713,168577.245508982
283856.413793103,201706.068965517,170757.24137931
280632.045045045,195998.954954955,176463.783783784
275767.844035088,193867.486140351,179398.596491228
274709.390374332,189885.946524064,182794.86631016
272437.209302326,188695.813953488,187831.007751938
271668.131455399,185750.535211268,191941.971830986
268833.956331878,182476.15720524,195848.384279476
310653.787234043,210246.808510638,155560.638297872
315445.691275168,214027.597315436,152452.348993289
305406.262443439,208157.683257919,158807.601809955
300189.502347418,204167.544600939,163203.192488263
274772.613117871,175972.446159696,199135.513307985
271861.431192661,174818.348623853,204462.752293578
270980.731707317,172968.695121951,210236.341463415
270342.133333333,168872.6,215754.666666667
271581.351351351,165147.891891892,221763.243243243
278863.654676259,158789.611510791,225315.971223022
295827.059561129,200512.984326019,166781.191222571
291583.804878049,196945.003484321,170155.400696864
286944.028985507,194013.884057971,173375.942028986
285444.663373494,188961.122168675,177641.927710843
280827.957894737,185758.652631579,182630.736842105
279258.277372263,183628.96350365,184667.445255474
277835.511551155,181295.102310231,189504.02640264
276014.894009217,178466.949308756,194731.98156682
310780.8,204327.822222222,157295.555555556
308322.236111111,201142.388888889,161413.333333333
279293.8,171445.2,197668.75
278133.618320611,170918.717557252,203501.374045802
275672.75,168781.545454545,208436.363636364
277991.677142857,165508.461428571,213009.523809524
277095.788359788,163586.878306878,218397.037037037
302347.761658031,196404.310880829,163687.25388601
299574.771144279,191793.019900498,168444.577114428
295457.798319328,188928.226890756,172094.453781513
290743.496932515,184879.110429448,176603.190184049
286530.88,182801.28,179564
285444.104745763,178773.337627119,185178.983050847
284745.222222222,176571.666666667,188717.222222222
280851.031578947,174665.094736842,192390.736842105
285590.654867257,168414.017699115,197627.256637168
283302.912567568,166825.508918919,203436.216216216
282100.970873786,164498.330097087,206950.485436893
285547.707932099,160989.958703704,213240.617283951
282210.131078431,159489.566372549,219044.705882353
311243.11875,194413.13125,161936.25
308832.535176471,189074.236745098,167295.37254902
302564.761904762,185780.571428571,171004.285714286
299195.215246637,181611.650224215,174678.744394619
295515.885714286,177032.685714286,180340.571428571
291575.097560976,173952.902439024,183137.886178862
290538.036363636,172869.963636364,188029.272727273
287600.469102564,169851.316089744,192000.769230769
291704.770882353,164980.041764706,196557.647058824
289402.142076503,163306.316939891,202032.786885246
289634.625,160326.375,207713.28125
291148.725581395,157362.08372093,213707.720930233
286577.808510638,155832.521276596,218870.638297872
312718.044025157,183309.383647799,169657.610062893
306935.841121495,178823.719626168,174032.523364486
303854.547619048,174508.94047619,177648.571428571
298847.143218391,170356.622298851,181455.632183908
299697.417721519,168322.430379747,186792.911392405
295091.003831418,166694.130268199,191237.701149425
297692.512820513,162056.820512821,195211.794871795
295395.533742331,159706.306748466,202746.993865031
295841.299492386,157473.137055838,206851.573604061
311342.459770115,172273.632183908,177637.011494253
308034.92,167731.11,180844
306358.04784689,165118.009569378,186448.803827751
303941.843478261,162828.660869565,191276.347826087
302550.8,158934.933333333,197168
301172.150537634,155513.510752688,201651.397849462
247832.74,264848.58,181148
315608.127901235,286717.865925926,143791.604938272
324054.355972222,287926.936388889,141157.777777778
255577.840595238,268970.56202381,177288.80952381
263247.474178404,273968.676056338,172551.17370892
267624.533333333,276676,168073.333333333
275662.182564103,280370.256410256,163101.538461538
283319.696216216,282584.43027027,158763.243243243
290758.327058824,285226.272941176,152747.450980392
297438.723809524,284373.847619048,151473.333333333
307356.331851852,287753.242962963,148025.185185185
245826.220258176,264582.961669535,185384.853700516
243179.870833333,261386.895833333,189756.833333333
227637.538461538,225760.093230769,233953.230769231
224186.447394958,221269.966386555,239037.983193277
225005.313200659,222095.326241949,245125.818181818
227425.240980823,222553.510875882,249514.23255814
227315.84516129,221313.651612903,256747.35483871
228409.973333333,216640.6,257777.6
239897.382640693,258220.55038961,194517.922077922
237240.649831547,252650.440030628,199741.316998469
233843.679617486,251382.73147541,203528.087431694
234442.455151515,245634.762727273,210694.545454545
231556.010465116,239398.59744186,215515.348837209
230977.706283186,236167.501150442,218550.442477876
231952.39375,230802.105357143,223916.428571429
