"","skid","name","tract","lineage","new_type_name","type","hemisphere"
"99",697145036,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"100",573669915,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"101",5813071369,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"102",727855437,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"103",1570685132,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"104",634379734,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"105",572663539,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"106",1322353714,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"107",1322353841,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"108",604726283,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"109",1037518512,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"110",5812983053,"mlPN2","mlALT","vPN","multi vPN mlALT","fib","FIB"
"111",1447205712,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"112",542311358,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"113",1570685224,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"114",1322353824,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"115",976830572,"mlPN2","mlALT","vPN","multi vPN mlALT","fib","FIB"
"116",603349484,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"117",975457916,"mlPN2","mlALT","vPN","multi vPN mlALT","fib","FIB"
"118",635407942,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"119",760250272,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"120",5813071409,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"121",1570685033,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"122",761938645,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"123",605050789,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"124",947513805,"mlPN2","mlALT","vPN","multi vPN mlALT","fib","FIB"
"125",480927537,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"126",541632990,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"127",791298858,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"128",729544359,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"129",5813045696,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"130",698526273,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"131",759922408,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"132",760250511,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"133",5813090752,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"134",1570684665,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"135",1571025824,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"136",5813054911,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"137",760264077,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"138",1819326555,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"139",729219639,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"140",610274029,"mlPN3","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"141",610274046,"mlPN3","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"142",1415825344,"mlPN3","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"143",1070613107,"mlPNX","mlALT","vPN","multi vPN mlALT","fib","FIB"
"144",637462647,NA,"mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"145",792616185,"mlPN1_DP1l","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"146",5813034081,"mlPN2_DP1m","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"147",1694850602,"mlPN2_VM2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"148",481268653,"mlPNX_VM2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"149",5812982656,"mPNX","t-mALT","mdPN","olfactory multi mdPN t-mALT","fib","FIB"
"150",1702306047,"t2PN1","t-mALT","ilPN","olfactory multi ilPN t-mALT","fib","FIB"
"151",1978573010,"t2PN1?","t-mALT","lPN","olfactory multi lPN t-mALT","fib","FIB"
"152",1661769627,"t3PN1_1(AMVF2)_R","t3ALT","lPN","olfactory multi lPN t3ALT","fib","FIB"
"153",1755556277,"t3PN1_2(AMVF2)_R","t3ALT","lPN","olfactory multi lPN t3ALT","fib","FIB"
"154",1316245799,"t4PN1","t-mALT","dpPN","olfactory multi dpPN t-mALT","fib","FIB"
"155",417199910,"mPNX(ALlv1)_R","mALT","lvPN","olfactory multi lvPN mALT","fib","FIB"
"156",5812995298,NA,"mALT","lvPN","olfactory multi lvPN mALT","fib","FIB"
