Flywire ID,vPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Type Code,Pathway type to MB Left,Pathway type to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Synapse sum to LVINs,Synapse sum to LVINs left,Mirror Twin,Mirror Twin Ints,Notes,
720575940630575042,vPN,visual_projection,Me,Left,acetylcholine,0.9,186,ME.SLP.2,Me-186,Direct,None,17,2,0,0,0,,720575940621353051 or 720575940634837660,720575940621353051,,
720575940619373421,vPN,visual_projection,Me,Left,acetylcholine,0.85,187,ME.SCL.4,Me-187,Indirect,None,0,0,0,0,8,0,720575940621353051,720575940621353051,,
720575940625063356,vPN,visual_projection,Me,Left,glutamate,0.54,188,CB0123,Me-188,Indirect,None,0,0,0,0,46,0,720575940644035364,720575940644035364,,
720575940633021580,vPN,visual_projection,Me,Left,acetylcholine,0.87,188,CB0171,Me-188,Both,None,89,4,0,0,110,0,720575940614465517,720575940614465517,ventral. gets Tm5a and/or b inputs,
720575940614465517,vPN,visual_projection,Me,Right,acetylcholine,0.91,188,CB0171,Me-188,None,Both,0,0,98,4,,0,720575940633021580,720575940633021580,,
720575940631158487,vPN,visual_projection,Lo,Left,acetylcholine,0.91,189,VES080,VES080,Indirect,Indirect,0,0,0,0,,8,720575940636217012,720575940636217012,new indirect vpn added 8/2/23,
720575940635489387,vPN,visual_projection,Lo,Left,acetylcholine,0.94,191,CB0274,CB0274,Both,None,266,11,0,0,259,7,720575940611532408,720575940611532408,large field,
720575940611532408,vPN,visual_projection,Lo,Right,acetylcholine,0.93,191,CB0274,CB0274,None,Both,0,0,199,9,,11,720575940635489387,720575940635489387,,
720575940635169888,vPN,visual_projection,Lo,Left,acetylcholine,0.92,192,LT67,LT67,Both,None,9,1,0,0,102,12,720575940631098172,720575940631098172,large field,
720575940631098172,vPN,visual_projection,Lo,Right,acetylcholine,0.94,192,LT67,LT67,None,Both,0,0,48,2,,14,720575940635169888,720575940635169888,,
720575940617883003,vPN,visual_projection,Lo,Left,acetylcholine,0.86,193,LT75,LT75,Both,None,60,3,0,0,72,14,720575940635359127,720575940635359127,medium field (same area as ..447),
720575940635359127,vPN,visual_projection,Lo,Right,acetylcholine,0.9,193,LT75,LT75,None,Both,0,0,25,1,,7,720575940617883003,720575940617883003,,
720575940638264629,vPN,visual_projection,Lo,Left,acetylcholine,0.93,194,PLP126,PLP126,Both,None,6,1,0,0,,0,720575940638264629,720575940638264629,small field,update synapses to lvins
720575940638410099,vPN,visual_projection,Me,Left,acetylcholine,0.91,196,MC62,MC62-c,Indirect,None,0,0,0,0,6,14,0,0,,
720575940631760426,vPN,visual_projection,Me,Left,acetylcholine,0.76,197,MC62,MC62-d,Direct,None,5,1,0,0,0,,0,0,,
720575940628694394,vPN,visual_projection,Lo,Left,acetylcholine,0.9,198,"PLP011, SLP339","PLP011, SLP339",Indirect,None,0,0,0,0,,17,720575940621374374,720575940621374374,new indirect vPN added 8/9/23,these 2 could be interchanged in terms of mirror 
720575940636772014,vPN,visual_projection,Lo,Left,acetylcholine,0.93,198,"PLP011, SLP339","PLP011, SLP339",Indirect,None,0,0,0,0,,13,720575940614047890,720575940614047890,new indirect vPN added 8/9/23,
720575940619677854,vPN,visual_projection,Lo,Left,Unknown,,199,PLP.404,Lo-199,Indirect,Indirect,0,0,0,0,,28,720575940629682028,720575940629682028,new indirect vpn added 8/2/23,
720575940634280674,vPN,visual_projection,Me,Left,glutamate,0.68,200,ME.PLP.118,Me-200,Indirect,None,0,0,0,0,,15,can't find,0,new indirect vPN added 8/9/23,
720575940613204650,vPN,visual_projection,Me,Left,glutamate,0.71,200,ME.PLP.245,Me-200,Indirect,None,0,0,0,0,,16,can't find,0,new indirect vPN added 8/9/23,
720575940624437700,vPN,visual_projection,Me,Left,glutamate,0.7,200,ME.PLP.67,Me-200,Indirect,None,0,0,0,0,,18,can't find,0,new indirect vPN added 8/9/23,
720575940622336280,vPN,visual_projection,Me,Left,acetylcholine,0.77,201,ME.PLP.172,Me-201,Indirect,Indirect,0,0,0,0,,26,can't find,0,new indirect vPN added 8/9/23,
720575940634128063,vPN,visual_projection,aMe,Left,acetylcholine,0.82,,aMe12,aMe12,None,Indirect,0,0,0,0,,20,,,,
720575940653433590,vPN,visual_projection,aMe,Left,glutamate,0.65,,aMe19a,aMe19a,None,Indirect,0,0,0,0,,14,,,,
720575940611294562,vPN,visual_projection,aMe,Right,glutamate,0.57,,aMe25,aMe25,None,Indirect,0,0,0,0,,20,,,,
720575940641501648,vPN,visual_projection,aMe,Right,Unknown,,,aMe3,aMe3,None,Indirect,0,0,0,0,,9,,,,
720575940623979914,vPN,visual_projection,aMe,Right,acetylcholine,0.9,,aMe5,aMe5,None,Indirect,0,0,0,0,,19,,,,
720575940624982456,vPN,visual_projection,aMe,Right,acetylcholine,0.87,,aMe5,aMe5,None,Indirect,0,0,0,0,,20,,,,
720575940611014570,LVIN,central,,Left,dopamine,0.69,,ATL042,d-ATL042,None,Direct,0,0,6,1,,,720575940621712990,720575940621712990,,
720575940631783372,LVIN,central,,Left,acetylcholine,0.9,,AVLP041,a-AVLP041,Direct,None,25,2,0,,,,720575940618869249,720575940618869249,,
720575940632219361,LVIN,central,,Left,acetylcholine,0.87,,AVLP043,a-AVLP043,Direct,None,72,4,0,0,,,720575940619676507,720575940619676507,,
720575940618422941,LVIN,central,,Left,acetylcholine,0.86,,AVLP043,a-AVLP043,Direct,None,29,2,0,0,,,720575940609329102,720575940609329102,,
720575940624951847,LVIN,central,,Left,gaba,0.85,,CL063,ga-CL063,Direct,None,106,17,0,0,,,720575940614374034,720575940614374034,,
720575940619522974,LVIN,central,,Left,acetylcholine,0.92,,CL200,a-CL200,Direct,None,23,2,0,0,,,720575940615713478,720575940615713478,,
720575940622350550,LVIN,central,,Left,acetylcholine,0.88,,CL258,a-CL258,Direct,None,184,10,0,0,,,720575940618810533,720575940618810533,these 2 have the same name and look somewhat alike,
720575940624236543,vPN,visual_projection,Lo,Right,acetylcholine,0.87,,CB0054,CB0054,None,Indirect,0,0,0,0,,8,,,,
720575940631536415,vPN,visual_projection,Lo,Right,acetylcholine,0.86,,CB0093,CB0093,None,Indirect,0,0,0,0,,25,,,,
720575940616843718,vPN,visual_projection,Me,Right,glutamate,0.53,,CB0123,CB0123,None,Indirect,0,0,0,0,,6,,,,
720575940611297070,vPN,visual_projection,Lo,Right,acetylcholine,0.84,,CB0146,CB0146,None,Indirect,0,0,0,0,,13,,,,
720575940618902100,vPN,visual_projection,Me,Left,glutamate,0.56,,CB0383,CB0383,None,Indirect,0,0,0,0,,9,,,,
720575940631855447,vPN,visual_projection,LoP,Right,glutamate,0.67,,CB0425,CB0425,None,Indirect,0,0,0,0,,22,,,,
720575940618159197,vPN,visual_projection,Lo,Right,acetylcholine,0.87,,CB0513,CB0513,None,Indirect,0,0,0,0,,15,,,,
720575940618819668,vPN,visual_projection,Me,Left,glutamate,0.57,,CB0577,CB0577,None,Indirect,0,0,0,0,,14,,,,
720575940618797981,vPN,visual_projection,Me,Right,glutamate,0.63,,CB0577,CB0577,None,Indirect,0,0,0,0,,19,,,,
720575940603976672,LVIN,central,,Left,acetylcholine,0.88,,CL258,a-CL258,Direct,None,114,7,0,0,,,720575940631611679,720575940631611679,,
720575940632652319,LVIN,central,,Left,acetylcholine,0.55,,CL352,a-CL352,Direct,None,7,1,0,0,,,720575940623805448,720575940623805448,,
720575940621268651,vPN,visual_projection,aMe,Right,glutamate,0.7,,CL125,CL125,None,Indirect,0,0,0,0,,18,,,,
720575940640278387,vPN,visual_projection,aMe,Right,glutamate,0.81,,CL125,CL125,None,Indirect,0,0,0,0,,9,,,,
720575940615438495,LVIN,central,,Left,acetylcholine,0.96,,LHPV3c1,a-LHPV3c1,Direct,None,102,4,0,0,,,720575940630914245,720575940630914245,,
720575940635718255,LVIN,central,,Left,acetylcholine,0.97,,LHPV8c1,a-LHPV8c1,Direct,None,49,4,0,0,,,720575940618582592,720575940618582592,,
720575940629728811,LVIN,central,,Left,gaba,0.92,,mALB5,ga-mALB5,None,Direct,0,0,7,1,,,"720575940609108931 or 720575940629753847, check change log",720575940609108931,,
720575940633617377,LVIN,central,,Left,gaba,0.83,,MB-C1,ga-MB-C1,Direct,None,15,2,0,0,,,720575940628334342 or 720575940615183071,720575940628334342,,
720575940622440461,LVIN,central,,Left,Unknown,,,PLP.349,u-PLP.349,Direct,None,5,1,0,0,,,720575940623184167,720575940623184167,,
720575940620343345,LVIN,central,,Left,acetylcholine,0.9,,PLP.78,a-PLP.78,Direct,None,438,24,0,0,,,720575940615746316,720575940615746316,,
720575940626083356,LVIN,central,,Left,glutamate,0.77,,PLP005,gl-PLP005,None,Direct,0,0,41,2,,,720575940635529464,720575940635529464,,
