v630 Neuron ID,Neuron ID 05Oct2023,VPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Pathway to MB Left,Pathway to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Mirror Twin 
720575940628476392,720575940628476392,VPN,visual_projection,Me,Right,glutamate,0.6,,ME.PLP.136,None,Indirect,0,0,0,0,0
720575940622660490,720575940622660490,VPN,visual_projection,Me,Right,glutamate,0.63,,ME.PLP.138,None,Indirect,0,0,0,0,0
720575940616850333,720575940634642658,VPN,visual_projection,Me,Right,acetylcholine,0.91,,ME.PLP.175,None,Indirect,0,0,0,0,0
720575940637027502,720575940617944379,VPN,visual_projection,Me,Right,acetylcholine,0.91,,ME.PLP.185,None,Indirect,0,0,0,0,0
720575940619181551,720575940619181551,VPN,visual_projection,Me,Left,acetylcholine,0.75,,ME.PLP.232,None,Indirect,0,0,0,0,0
720575940634064831,720575940634064831,VPN,visual_projection,Me,Right,acetylcholine,0.91,,ME.PLP.239,None,Indirect,0,0,0,0,0
720575940628787052,720575940628787052,VPN,visual_projection,Me,Right,acetylcholine,0.86,,ME.PLP.251,None,Indirect,0,0,0,0,0
720575940624999370,720575940624999370,VPN,visual_projection,Me,Right,acetylcholine,0.84,,ME.PLP.252,None,Indirect,0,0,0,0,0
720575940632477101,720575940632477101,VPN,visual_projection,Me,Right,acetylcholine,0.85,,ME.PLP.279,None,Indirect,0,0,0,0,0
720575940632486201,720575940612276322,VPN,visual_projection,Me,Right,acetylcholine,0.89,,ME.PLP.29,None,Indirect,0,0,0,0,0
720575940606039328,720575940630541050,VPN,visual_projection,Me,Right,acetylcholine,0.92,,ME.PLP.290,None,Indirect,0,0,0,0,0
720575940627832201,720575940611712632,VPN,visual_projection,Me,Right,acetylcholine,0.94,,ME.PLP.46,None,Indirect,0,0,0,0,0
720575940616207628,720575940616207628,VPN,visual_projection,Me,Right,acetylcholine,0.73,,ME.PLP.54,None,Indirect,0,0,0,0,0
720575940629491707,720575940632834188,VPN,visual_projection,Me,Right,acetylcholine,0.44,,ME.PLP.61,None,Indirect,0,0,0,0,0
720575940621715299,720575940636624120,VPN,visual_projection,Me,Right,gaba,0.77,,ME.PLP.64,None,Indirect,0,0,0,0,0
720575940625914501,720575940625914501,VPN,visual_projection,Me,Right,gaba,0.87,,ME.PLP.68,None,Indirect,0,0,0,0,0
720575940616455261,720575940616455261,VPN,visual_projection,Me,Right,glutamate,0.51,,ME.PLP.9,None,Indirect,0,0,0,0,0
720575940621353051,720575940637321870,VPN,visual_projection,Me,Right,acetylcholine,0.85,,ME.SCL.3,None,Indirect,0,0,0,0,0
720575940632267112,720575940632267112,VPN,visual_projection,Ocellar,Left,acetylcholine,0.95,,OCG04,None,Indirect,0,0,0,0,0
720575940633513645,720575940633513645,VPN,visual_projection,Ocellar,Left,acetylcholine,0.97,,OCG04,None,Indirect,0,0,0,0,0
720575940615713478,720575940615713478,LVIN,central,NA - LVIN,Right,acetylcholine,0.94,,CL200,None,Direct,0,0,43,5,720575940619522974
720575940628394455,720575940628394455,VPN,visual_projection,Lo,Right,acetylcholine,0.9,,PLP.484,None,Indirect,0,0,0,0,0
720575940613355175,720575940613355175,VPN,visual_projection,LoP,Right,acetylcholine,0.73,,PLP.498,None,Indirect,0,0,0,0,0
720575940603596972,720575940603596972,VPN,visual_projection,Lo,Right,acetylcholine,0.89,,PLP.511,None,Indirect,0,0,0,0,0
720575940618945872,720575940618335961,VPN,visual_projection,Me,Right,acetylcholine,0.87,,PLP.580,None,Indirect,0,0,0,0,0
720575940606811145,720575940610120405,VPN,visual_projection,LoP,Right,acetylcholine,0.76,,PLP.601,None,Indirect,0,0,0,0,0
720575940626083356,720575940626083356,LVIN,central,NA - LVIN,Left,glutamate,0.77,,PLP005,None,Direct,0,0,41,2,720575940635529464
720575940623943404,720575940623943404,LVIN,central,NA - LVIN,Left,acetylcholine,0.94,,PLP231,None,Direct,0,0,36,3,720575940624603901
720575940609526318,720575940618869249,LVIN,central,NA - LVIN,Right,acetylcholine,0.87,,AVLP041,None,Direct,0,0,29,2,720575940631783372
720575940616461173,720575940616461173,LVIN,central,NA - LVIN,Right,acetylcholine,0.9,,PVLP.SLP.3,None,Direct,0,0,27,3,720575940632070370
720575940635529464,720575940635529464,LVIN,central,NA - LVIN,Right,glutamate,0.78,,PLP005,None,Direct,0,0,23,2,720575940626083356
720575940626140164,720575940626140164,LVIN,central,NA - LVIN,Right,acetylcholine,0.94,,VES025,None,Direct,0,0,20,1,720575940635206251
720575940632226897,720575940632226897,LVIN,central,NA - LVIN,Right,acetylcholine,0.93,,CL250,None,Direct,0,0,16,1,720575940630001207
720575940611351514,720575940611351514,LVIN,central,NA - LVIN,Right,glutamate,0.8,,"PLP185, PLP186",None,Direct,0,0,13,2,720575940627303696
720575940625493385,720575940625493385,LVIN,central,NA - LVIN,Right,acetylcholine,0.96,,PLP.SLP.42,None,Direct,0,0,12,1,720575940615951163
720575940606811145,720575940627091006,VPN,visual_projection,Lo,Right,acetylcholine,0.93,,PLP125,None,Indirect,0,0,0,0,0
720575940624304423,720575940624304423,VPN,visual_projection,Lo,Right,acetylcholine,0.92,,PLP125,None,Indirect,0,0,0,0,0
720575940627221763,720575940627221763,VPN,visual_projection,Lo,Right,acetylcholine,0.89,,PLP147,None,Indirect,0,0,0,0,0
720575940604616806,720575940604616806,VPN,visual_projection,Lo,Right,acetylcholine,0.93,,PLP153,None,Indirect,0,0,0,0,0
720575940616047249,720575940616047249,VPN,visual_projection,Lo,Right,acetylcholine,0.9,,PLP153,None,Indirect,0,0,0,0,0
720575940625967390,720575940625967390,VPN,visual_projection,Lo,Right,acetylcholine,0.89,,PLP153,None,Indirect,0,0,0,0,0
720575940627322923,720575940627322923,VPN,visual_projection,Lo,Right,acetylcholine,0.88,,PLP153,None,Indirect,0,0,0,0,0
720575940629791563,720575940629791563,VPN,visual_projection,Lo,Right,acetylcholine,0.95,,PLP153,None,Indirect,0,0,0,0,0
720575940632066578,720575940624774839,VPN,visual_projection,Me,Right,acetylcholine,0.88,,PLP179,None,Indirect,0,0,0,0,0
720575940630098284,720575940630098284,LVIN,central,NA - LVIN,Right,glutamate,0.83,,PLP004,None,Direct,0,0,11,1,720575940617812696
720575940616054834,720575940616054834,LVIN,central,NA - LVIN,Right,acetylcholine,0.94,,hb386829647,None,Direct,0,0,9,1,720575940612015217
720575940618446296,720575940618446296,VPN,visual_projection,LoP,Right,acetylcholine,0.68,,PLP207,None,Indirect,0,0,0,0,0
720575940634943423,720575940620997396,VPN,visual_projection,Lo,Right,glutamate,0.75,,PLP212,None,Indirect,0,0,0,0,0
720575940609108931,720575940629728811,LVIN,central,NA - LVIN,Left,gaba,0.92,,mALB5,None,Direct,0,0,7,1,720575940629753847
720575940627632745,720575940627632745,LVIN,central,NA - LVIN,Right,acetylcholine,0.74,,SIP.43,None,Direct,0,0,7,1,0
720575940611014570,720575940611014570,LVIN,central,NA - LVIN,Left,dopamine,0.69,,ATL042,None,Direct,0,0,6,1,720575940621712990
