,Checked (everything but nblast clusters and indirect pathways),Flywire ID_updated,v630 ID,vPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Type Code,Pathway type to MB Left,Pathway type to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Synapse sum to LVINs,Synapse sum to LVINs left,Mirror Twin Ints,Is Mirror Twin a Direct KCgd Input (v630)?,Notes,RF_size
122,yes,720575940630585704,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.89,178.0,LO.SCL.7,Lo-178,Direct,None,111.0,8.0,0.0,0.0,0.0,8.0,7.205759406156914e+17,Yes,small field,90
260,yes,720575940613323378,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.9,99.0,LT57,Lo-LT57,Both,None,5.0,1.0,0.0,0.0,,13.0,0.0,,No LT57's synapse w kcgd on right (even without synapse threshold),118
1894,,720575940631338271,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,109
1895,,720575940643740964,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,76
1881,,720575940612021475,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,106
1891,,720575940626128147,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,83
1890,,720575940624588039,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,43
1889,,720575940626857220,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
1893,,720575940625415452,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
1892,,720575940620967194,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,81
1899,,720575940632124714,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,50
1897,,720575940612857128,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,86
1898,,720575940622556457,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,91
1900,,720575940612603176,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,60
1901,,720575940622269737,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,37
1902,,720575940627643691,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,129
1903,,720575940613799218,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,55
1904,,720575940638285109,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,30
1905,,720575940630625593,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,42
1906,,720575940626292042,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,296
1907,,720575940630265163,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,114
1896,,720575940623736103,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,71
1888,,720575940618542337,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,13
1880,,720575940632108257,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,91
1886,,720575940610825458,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,31
1865,,720575940615347350,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,16
1866,,720575940610989209,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,47
1867,,720575940632779932,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,94
1868,,720575940614110367,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
1869,,720575940642995360,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,73
1870,,720575940619009195,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,72
1871,,720575940605729964,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,83
1872,,720575940634729652,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,97
1873,,720575940635516084,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,115
1887,,720575940634721528,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,65
1874,,720575940623989941,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,43
1876,,720575940622531767,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,122
1877,,720575940623998140,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,29
1878,,720575940631772367,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,110
1879,,720575940610899154,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,29
1908,,720575940639898958,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,97
1882,,720575940636703977,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,81
1883,,720575940622441706,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
1884,,720575940623326443,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,89
1885,,720575940620885232,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,58
1875,,720575940622425271,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,112
1909,,720575940631575889,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,53
1919,,720575940612570481,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,137
1911,,720575940625489241,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,42
1936,,720575940637195753,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,40
1937,,720575940619935214,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,122
1938,,720575940626742769,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,70
1939,,720575940634361336,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,120
1940,,720575940629921274,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,12
1941,,720575940628635132,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,128
1942,,720575940627111426,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,578
1943,,720575940626415121,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,87
1944,,720575940633067033,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,16
1945,,720575940622687770,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,77
1946,,720575940617502235,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,40
1947,,720575940604337696,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,48
1948,,720575940643880484,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
1949,,720575940622368294,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,41
1950,,720575940622343718,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,29
1951,,720575940629012012,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,74
1952,,720575940630044207,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,58
1953,,720575940618608177,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,91
1954,,720575940630404664,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,83
1935,,720575940636884457,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,60
1934,,720575940641766875,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,58
1933,,720575940628889047,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,82
1932,,720575940616715732,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,67
1912,,720575940634131807,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,45
1913,,720575940633091424,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
1914,,720575940636892517,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,27
1915,,720575940627709287,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,47
1916,,720575940631854440,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
1917,,720575940629470572,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,39
1918,,720575940644412782,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,89
1864,,720575940611890325,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,37
1920,,720575940628684154,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,53
1910,,720575940626062681,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,43
1921,,720575940628200826,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,71
1923,,720575940646649220,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,51
1924,,720575940623949192,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,110
1925,,720575940633247132,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,89
1926,,720575940652785057,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,40
1927,,720575940638637475,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,42
1928,,720575940625571256,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,104
1929,,720575940625276346,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,70
1930,,720575940630052293,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,81
1931,,720575940614241745,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,31
1922,,720575940625390979,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,89
1863,,720575940639874189,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,164
1854,,720575940611734641,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,44
1861,,720575940619222151,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,76
1795,,720575940626430851,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
1796,,720575940605598594,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,155
1797,,720575940619197318,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,75
1798,,720575940625701769,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
1799,,720575940618779527,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,57
1800,,720575940613831570,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,92
1801,,720575940623145876,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,58
1802,,720575940610800533,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,96
1803,,720575940610522009,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,120
1804,,720575940628241307,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,135
1805,,720575940618304414,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,56
1806,,720575940615584671,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,51
1807,,720575940618312606,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,125
1808,,720575940604058540,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,61
1809,,720575940635671470,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,49
1810,,720575940605426609,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,56
1811,,720575940622973879,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
1812,,720575940615125958,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,74
1813,,720575940627184583,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,95
1794,,720575940606270338,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,65
1814,,720575940621794253,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,63
1793,,720575940618738555,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,42
1791,,720575940635466608,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,91
1772,,720575940617517888,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,81
1773,,720575940621097793,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,67
1774,,720575940610136900,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
1775,,720575940637604678,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,32
1776,,720575940627397448,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,25
1777,,720575940624284493,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,56
1778,,720575940638210894,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,66
1779,,720575940627782479,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,113
1780,,720575940632533843,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,61
1781,,720575940630584151,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
1782,,720575940625472345,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,53
1783,,720575940637178714,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,67
1784,,720575940621073243,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,52
1785,,720575940606974812,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,43
1786,,720575940620958558,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,111
1787,,720575940635204448,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,81
1788,,720575940623514467,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,82
1789,,720575940603272038,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,73
1790,,720575940635540331,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,28
1792,,720575940612627314,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,84
1815,,720575940611201998,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,83
1816,,720575940628921303,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,103
1817,,720575940616215513,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,113
1843,,720575940639317062,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,279
1844,,720575940630731847,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,91
1845,,720575940628323402,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,79
1846,,720575940638981208,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
1847,,720575940619451483,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,45
1848,,720575940621024350,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,10
1849,,720575940634188907,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,81
1850,,720575940629421164,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,107
1851,,720575940611628145,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,85
1852,,720575940621712500,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,111
1853,,720575940620606580,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,94
1955,,720575940626669114,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,61
1855,,720575940635188343,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,90
1856,,720575940638145651,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,83
1857,,720575940649229433,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,86
1858,,720575940648418425,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,142
1859,,720575940620778623,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,46
1860,,720575940627692677,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,39
1841,,720575940629224492,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,109
1840,,720575940645223460,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,27
1839,,720575940620434465,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
1838,,720575940625587230,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,49
1818,,720575940604500960,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,33
1819,,720575940603452384,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
1820,,720575940605393888,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,105
1821,,720575940612766691,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,121
1822,,720575940632992737,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,134
1823,,720575940611439587,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,123
1824,,720575940623145963,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,128
1825,,720575940612791277,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,23
1862,,720575940632419468,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,107
1827,,720575940622670845,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,73
1829,,720575940622285823,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,67
1830,,720575940618566657,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,77
1831,,720575940616420353,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,76
1832,,720575940608875531,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,43
1833,,720575940625579022,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,49
1834,,720575940613331990,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,73
1835,,720575940621360152,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,58
1836,,720575940622539800,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,121
1837,,720575940627373086,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,42
1828,,720575940626865148,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,118
1956,,720575940615945794,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,25
1966,,720575940635631211,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,82
1958,,720575940637662790,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,132
2076,,720575940634935392,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,62
2077,,720575940613455986,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,688
2078,,720575940634673271,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,87
2079,,720575940660863105,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,120
2080,,720575940624949379,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,60
2081,,720575940625891472,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,58
2082,,720575940638687395,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,116
2083,,720575940627865768,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,99
2084,,720575940626669736,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,120
2085,,720575940624457912,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,143
2086,,720575940638367933,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,183
2087,,720575940623384781,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,445
2088,,720575940627103996,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,83
2089,,720575940626702602,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,109
2090,,720575940616470796,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,525
2091,,720575940620206356,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,65
2092,,720575940616405282,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
2093,,720575940647412020,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,282
2094,,720575940630896953,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,86
2075,,720575940620869723,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,96
2095,,720575940621705537,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,131
2074,,720575940627382351,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,71
2072,,720575940626874442,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,71
2053,,720575940609523662,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,30
2054,,720575940639784912,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,48
2055,,720575940633853907,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,124
2056,,720575940605452256,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,62
2057,,720575940613726179,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,157
2058,,720575940616298470,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,25
2059,,720575940640956405,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,127
2060,,720575940622499839,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,114
2061,,720575940616355852,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,74
2062,,720575940645077015,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,32
2063,,720575940631191583,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,92
2064,,720575940606156832,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,357
2065,,720575940646043683,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,179
2066,,720575940626366512,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,167
2067,,720575940618551345,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,96
2068,,720575940639383605,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,48
2069,,720575940638728253,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,56
2070,,720575940637319231,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,42
2071,,720575940621779009,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,185
2073,,720575940626849866,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,121
2096,,720575940630937923,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,286
2097,,720575940617625920,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,55
2098,,720575940623024460,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,183
2123,,720575940631626287,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,38
2124,,720575940611088942,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,259
2125,,720575940627522106,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,70
2126,,720575940622631500,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,69
2127,,720575940633715296,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,71
2128,,720575940620010093,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
2129,,720575940605928066,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,118
2130,,720575940619797126,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,76
2131,,720575940621132422,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
2132,,720575940617265803,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,82
2133,,720575940612874898,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,152
2134,,720575940634731188,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,55
2135,,720575940616708825,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,47
2136,,720575940614300383,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
2137,,720575940603011808,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,37
2138,,720575940638614244,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,27
2139,,720575940625367783,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,62
2140,,720575940612760306,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
2141,,720575940629209841,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,41
2122,,720575940609581614,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,81
2121,,720575940623401513,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,93
2120,,720575940619198996,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,52
2119,,720575940631061007,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,100
2099,,720575940630585704,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,90
2100,,720575940614144362,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,65
2101,,720575940621771124,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,72
2102,,720575940628742522,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,102
2103,,720575940606108034,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
2104,,720575940615954827,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,60
2105,,720575940613931414,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,85
2106,,720575940614988199,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,122
2107,,720575940605878706,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,139
2052,,720575940605173705,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,72
2108,,720575940622860727,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,56
2110,,720575940633428415,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,89
