,Data,Shuffle mean,Shuffle min,Shuffle max
30,9.393079448897533e-33,8.97149701388708e-33,7.324782744904868e-33,1.1071743458318035e-32
31,8.105256844647275e-33,7.985103351336926e-33,6.276242539232074e-33,1.0023476790331326e-32
32,7.54229349200905e-33,7.016599118607559e-33,4.978072104852105e-33,8.976329348289347e-33
33,5.256950631039117e-33,6.042283954966111e-33,3.7631710651131646e-33,8.030482501878453e-33
34,4.174048762690061e-33,5.1715060308074e-33,2.97917156668981e-33,6.969088427156868e-33
35,3.866787208227942e-33,4.288567651091194e-33,2.7345241039559766e-33,6.084391350384618e-33
36,2.496005207925857e-33,3.515455282290154e-33,2.3625638064133946e-33,5.2046476691956445e-33
37,2.496005207925857e-33,2.942272346667665e-33,2.132129465644584e-33,4.350515123261495e-33
38,2.496005207925857e-33,2.5845034182628506e-33,2.0202743743809353e-33,3.4293916671051586e-33
39,2.496005207925857e-33,2.384833211828303e-33,1.892071423616992e-33,2.9390172433835314e-33
40,2.496005207925857e-33,2.3049656599830313e-33,1.8100178176683485e-33,2.9299868532904262e-33
41,2.496005207925857e-33,2.2883669075457435e-33,1.7834195269343987e-33,2.9299868532904262e-33
42,2.496005207925857e-33,2.2856515723897952e-33,1.771475780629578e-33,2.9299868532904262e-33
43,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
44,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
45,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
46,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
47,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
48,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
49,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
50,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
51,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
52,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
53,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
54,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
55,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
56,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
57,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
58,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
59,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
60,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
61,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
62,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
63,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
64,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
65,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
66,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
67,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
68,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
69,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
70,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
71,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
72,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
73,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
74,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
75,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
76,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
77,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
78,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
79,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
80,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
81,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
82,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
83,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
84,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
85,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
86,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
87,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
88,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
89,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
90,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
91,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
92,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
93,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
94,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
95,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
96,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
97,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
98,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
99,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
100,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
101,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
102,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
103,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
104,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
105,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
106,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
107,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
108,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
109,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
110,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
111,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
112,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
113,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
114,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
115,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
116,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
117,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
118,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
119,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
120,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
121,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
122,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
123,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
124,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
125,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
126,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
127,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
128,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
129,2.496005207925857e-33,2.2851181362045903e-33,1.771475780629578e-33,2.9299868532904262e-33
130,2.496005207925857e-33,2.2825761234833067e-33,1.771475780629578e-33,2.9299868532904262e-33
131,2.496005207925857e-33,2.2781110296295586e-33,1.74746415390399e-33,2.9299868532904262e-33
132,2.4489078724893407e-33,2.250157385051387e-33,1.714972597758753e-33,2.9194706918319604e-33
133,1.9225103658294074e-33,2.0558130531168844e-33,1.4143375586632487e-33,2.676256481029137e-33
134,1.9122918540738272e-33,1.6576347823904523e-33,8.34738157693719e-34,2.5315386153998003e-33
135,1.5611514516779908e-33,1.152092890206318e-33,5.381401034383872e-34,2.047186214370315e-33
136,1.4083734836120236e-33,7.456302543954062e-34,3.1875374451431406e-34,1.2727078400214536e-33
137,2.842043221771255e-34,4.44842787034328e-34,1.3386129671189702e-34,8.047230736906452e-34
138,2.4829849710528296e-34,1.9511095385317346e-34,1.8592591619759304e-35,3.999965369065483e-34
139,2.969147215186124e-35,4.2232057749142186e-36,1.480876065169639e-38,2.340503855803025e-35
