,Presynaptic neuron type,Presynaptic neuron,Postsynaptic neuron,Predicted synapse type,Variance in distances from centroid
118,VPN,720575940616412738,720575940619696660,claw,266.86171530865585
119,VPN,720575940631298860,720575940617503974,en_passant,3279.314115529294
120,VPN,720575940631298860,720575940635389808,claw,130.58491430626822
121,VPN,720575940613941475,720575940625003907,claw,325.02934322198837
122,VPN,720575940613941475,720575940636555182,claw,98.44558944083172
123,VPN,720575940633292113,720575940627295260,claw,716.8816208004689
124,VPN,720575940615566846,720575940633386603,claw,206.4855189401239
125,VPN,720575940632707944,720575940617931547,claw,323.74206708636405
126,VPN,720575940632707944,720575940621786602,claw,260.0961137193331
127,VPN,720575940632707944,720575940623393002,claw,276.5198665490183
128,VPN,720575940632707944,720575940627800446,en_passant,4163.947548820947
129,VPN,720575940632707944,720575940630166646,claw,366.4564129865954
130,VPN,720575940632707944,720575940637435726,claw,232.3349393124314
131,VPN,720575940635535511,720575940605199305,en_passant,2093.0076455163935
132,VPN,720575940635535511,720575940607520451,claw,481.43625320098164
133,VPN,720575940635535511,720575940607623875,en_passant,4607.92927386473
134,VPN,720575940635535511,720575940613863903,claw,161.6308676685244
135,VPN,720575940635535511,720575940616295069,claw,595.8769384084356
136,VPN,720575940635535511,720575940619229037,claw,657.3822383784752
137,VPN,720575940635535511,720575940619949040,claw,268.26401155038536
138,VPN,720575940635535511,720575940605829297,claw,214.10828669996386
139,VPN,720575940635535511,720575940612980990,claw,250.6224603292341
140,VPN,720575940635535511,720575940617503974,claw,614.0282719367297
141,VPN,720575940635535511,720575940617931547,claw,152.48686388193326
142,VPN,720575940635535511,720575940620197658,claw,565.7936567539667
143,VPN,720575940635535511,720575940620200709,claw,1090.723973589756
144,VPN,720575940635535511,720575940620227617,en_passant,1638.1045725679198
145,VPN,720575940635535511,720575940621527337,en_passant,1954.8285007729721
146,VPN,720575940635535511,720575940621786602,en_passant,5132.2367428853095
147,VPN,720575940635535511,720575940622022583,claw,398.524553936239
148,VPN,720575940635535511,720575940623207108,claw,183.9172136349666
149,VPN,720575940635535511,720575940623365045,claw,263.75506807562994
150,VPN,720575940635535511,720575940623767991,claw,430.9567621660509
151,VPN,720575940635535511,720575940625632893,claw,568.2488966620145
152,VPN,720575940635535511,720575940626465286,en_passant,4343.711569639816
153,VPN,720575940635535511,720575940627583217,claw,546.6685438201812
154,VPN,720575940635535511,720575940627953607,en_passant,4235.557263303397
155,VPN,720575940635535511,720575940628080902,claw,694.8418326868813
156,VPN,720575940635535511,720575940628405882,en_passant,2681.784019736554
157,VPN,720575940635535511,720575940630834503,claw,376.9369635323923
158,VPN,720575940635535511,720575940631305164,claw,386.40415667190496
159,VPN,720575940635535511,720575940629438825,claw,875.8266142684948
160,VPN,720575940635535511,720575940632271780,claw,1004.043849200618
161,VPN,720575940635535511,720575940635370096,claw,584.2568067080282
162,VPN,720575940635535511,720575940637435726,claw,338.17242019608375
163,VPN,720575940635535511,720575940650726390,claw,339.6038227475852
164,VPN,720575940631706105,720575940608399115,claw,148.74487741157208
165,VPN,720575940631706105,720575940611930265,claw,682.4147654226813
166,VPN,720575940631706105,720575940615543995,en_passant,2197.007056358629
167,VPN,720575940631706105,720575940616305181,en_passant,5474.992873066851
168,VPN,720575940631706105,720575940617150878,claw,1037.5132189222466
169,VPN,720575940631706105,720575940618904229,claw,1242.2513311696516
170,VPN,720575940631706105,720575940619229037,claw,629.7864067196875
171,VPN,720575940631706105,720575940619825237,claw,928.5246056358397
172,VPN,720575940631706105,720575940637037126,claw,879.9401305002958
173,VPN,720575940631706105,720575940604249790,en_passant,2231.9704062854325
174,VPN,720575940631706105,720575940610391854,en_passant,3913.632894383385
175,VPN,720575940631706105,720575940608126386,en_passant,1669.40672473868
176,VPN,720575940631706105,720575940617266833,claw,745.296038614219
177,VPN,720575940631706105,720575940618293589,en_passant,1461.1390456409142
178,VPN,720575940631706105,720575940621650116,claw,323.07459085142324
179,VPN,720575940631706105,720575940623207108,claw,893.4950706014247
180,VPN,720575940631706105,720575940623231428,claw,311.77973104497556
181,VPN,720575940631706105,720575940623859127,claw,263.84584423462735
182,VPN,720575940631706105,720575940624879388,en_passant,1705.1998042089938
183,VPN,720575940631706105,720575940614812653,claw,210.88442532112762
184,VPN,720575940631706105,720575940626465286,claw,969.216861124128
185,VPN,720575940631706105,720575940628134266,en_passant,3168.6889275961735
186,VPN,720575940631706105,720575940633707980,en_passant,2601.760239506659
187,VPN,720575940631706105,720575940630391033,en_passant,2064.0653033554127
188,VPN,720575940631706105,720575940631490371,en_passant,6282.2928776932
189,VPN,720575940631706105,720575940633023935,claw,957.7325796943755
190,VPN,720575940631706105,720575940634906286,claw,647.6881555408955
191,VPN,720575940631706105,720575940636555182,claw,371.9444111557361
192,VPN,720575940631706105,720575940637619534,en_passant,2758.9934180852206
193,VPN,720575940631706105,720575940643466094,claw,613.9487679753936
194,VPN,720575940631706105,720575940644677411,claw,96.07896581153939
195,VPN,720575940631706105,720575940645949316,en_passant,3490.6616167621382
196,VPN,720575940631706105,720575940647973497,claw,248.6319010990697
197,VPN,720575940631706105,720575940650726390,claw,327.6218219912106
198,VPN,720575940623139610,720575940623070868,claw,482.3820819115247
199,VPN,720575940635960255,720575940618293589,claw,140.21132031132566
200,VPN,720575940635960255,720575940640158939,claw,373.12009574276914
201,VPN,720575940632404555,720575940611930265,en_passant,5615.856604938776
202,VPN,720575940632404555,720575940627953607,en_passant,2616.080395308534
203,VPN,720575940632404555,720575940629438825,en_passant,1695.4434106503847
204,VPN,720575940632404555,720575940633572250,claw,1118.8306997067837
205,VPN,720575940621510164,720575940605199305,en_passant,1552.0437339916912
206,VPN,720575940621510164,720575940613294016,claw,1349.5031160008855
207,VPN,720575940621510164,720575940618903931,claw,645.304345548705
208,VPN,720575940621510164,720575940619475376,claw,907.6084251289875
209,VPN,720575940621510164,720575940623859127,en_passant,3474.5663037355503
210,VPN,720575940621510164,720575940625981028,claw,453.0425497690228
211,VPN,720575940621510164,720575940633707980,en_passant,3614.2974591543125
212,VPN,720575940621510164,720575940631305164,claw,590.9146001492045
213,VPN,720575940621510164,720575940631492419,claw,985.1809844282955
214,VPN,720575940621510164,720575940643466094,claw,830.2290938294998
215,VPN,720575940621510164,720575940650706166,claw,586.6471596694488
216,VPN,720575940642602203,720575940604497888,claw,764.0039308499909
217,VPN,720575940642602203,720575940615713292,claw,783.0195593104005
218,VPN,720575940642602203,720575940643741384,en_passant,3827.345888265361
219,VPN,720575940642602203,720575940609533538,en_passant,4470.342548145633
220,VPN,720575940642602203,720575940619511206,claw,408.2980865798168
221,VPN,720575940642602203,720575940620002036,claw,636.2302359692004
222,VPN,720575940642602203,720575940623393002,claw,579.4746366340139
223,VPN,720575940642602203,720575940627251216,claw,116.0744289631494
224,VPN,720575940642602203,720575940627583217,claw,261.1757907590322
225,VPN,720575940642602203,720575940628080902,claw,152.38140324116836
226,VPN,720575940642602203,720575940628405882,claw,300.4537772597044
227,VPN,720575940642602203,720575940631305164,claw,531.87064553678
228,VPN,720575940642602203,720575940635031403,claw,456.29264671550754
229,VPN,720575940630737516,720575940607983369,claw,711.806633278074
230,VPN,720575940630737516,720575940618904229,claw,709.9022644947938
231,VPN,720575940630737516,720575940619825237,claw,166.29130232029712
232,VPN,720575940630737516,720575940637037126,claw,411.22844462865686
233,VPN,720575940630737516,720575940604249790,claw,1327.927721143755
234,VPN,720575940630737516,720575940605829297,en_passant,5337.704369769806
235,VPN,720575940630737516,720575940623430365,en_passant,1564.4025926942431
236,VPN,720575940630737516,720575940617931547,claw,493.37912673175424
237,VPN,720575940630737516,720575940620002036,claw,224.1054127325095
238,VPN,720575940630737516,720575940622013097,claw,338.51235084169264
239,VPN,720575940630737516,720575940623070868,claw,141.56440426001808
240,VPN,720575940630737516,720575940623207108,claw,528.901254065897
241,VPN,720575940630737516,720575940623365045,claw,661.6367379572808
242,VPN,720575940630737516,720575940623393002,claw,243.5068673641714
243,VPN,720575940630737516,720575940623906633,claw,217.06028256270656
244,VPN,720575940630737516,720575940625632893,en_passant,2120.04035183565
245,VPN,720575940630737516,720575940614812653,claw,130.97162957843173
246,VPN,720575940630737516,720575940626460420,claw,248.88934585937798
247,VPN,720575940630737516,720575940626653273,claw,157.62871855622137
248,VPN,720575940630737516,720575940627800446,claw,256.3175119421981
249,VPN,720575940630737516,720575940628025799,claw,101.97685333358928
250,VPN,720575940630737516,720575940630166646,claw,803.4252458970459
251,VPN,720575940630737516,720575940630391033,claw,236.7572700384305
252,VPN,720575940630737516,720575940633023935,claw,240.3014406563625
253,VPN,720575940630737516,720575940635031403,claw,90.23786292797689
254,VPN,720575940630737516,720575940636562916,en_passant,2991.6050219788885
255,VPN,720575940630737516,720575940637435726,claw,949.3663968037615
256,VPN,720575940630737516,720575940640158939,claw,145.44710429382877
257,VPN,720575940630737516,720575940650726390,en_passant,4131.551451510324
258,VPN,720575940618529885,720575940606683915,claw,1030.0164484668842
259,VPN,720575940618529885,720575940607520451,claw,260.259752957523
260,VPN,720575940618529885,720575940607983369,claw,226.58596481399303
261,VPN,720575940618529885,720575940608399115,en_passant,3841.4963644358936
262,VPN,720575940618529885,720575940615713292,claw,273.7381725344537
263,VPN,720575940618529885,720575940618903931,claw,269.91963065347426
264,VPN,720575940618529885,720575940619949040,claw,886.1640453508452
265,VPN,720575940618529885,720575940643741384,claw,178.2163354265563
266,VPN,720575940618529885,720575940616902213,en_passant,6919.57440926692
